Key,Summary,Status,Priority,Created,Assignee,Label
DS-355,Ai/ml task 355,In Progress,High,2023-01-29,Vikram,ai/ml
DS-356,Cloud task 356,To Do,Low,2023-03-01,Vikram,cloud
DS-357,Backend task 357,In Progress,Low,2023-07-22,Rahul,backend
DS-358,Cloud task 358,In Progress,Low,2023-02-11,Shridayal,cloud
DS-359,Deployment task 359,To Do,Low,2024-02-12,Anita,deployment
DS-360,Backend task 360,In Progress,Low,2023-12-01,Priya,backend
DS-361,Backend task 361,Done,Medium,2024-02-17,Anita,backend
DS-362,Deployment task 362,Done,Low,2023-10-04,Vikram,deployment
DS-363,Ai/ml task 363,To Do,High,2023-06-19,Rahul,ai/ml
DS-364,Devops task 364,To Do,Low,2023-02-21,Rahul,devops
DS-365,Devops task 365,In Progress,Medium,2023-08-25,Anita,devops
DS-366,Devops task 366,Done,High,2023-06-26,Shridayal,devops
DS-367,Backend task 367,To Do,High,2024-04-28,Priya,backend
DS-368,Ai/ml task 368,To Do,High,2023-11-11,Rahul,ai/ml
DS-369,Deployment task 369,In Progress,Low,2023-03-06,Shridayal,deployment
DS-370,Cloud task 370,In Progress,High,2024-02-10,Shridayal,cloud
DS-371,Deployment task 371,In Progress,Medium,2023-03-21,Shridayal,deployment
DS-372,Ai/ml task 372,To Do,High,2023-07-27,Priya,ai/ml
DS-373,Backend task 373,Done,Medium,2023-01-04,Vikram,backend
DS-374,Backend task 374,In Progress,Low,2024-01-26,Anita,backend
DS-375,Backend task 375,Done,Medium,2023-05-26,Vikram,backend
DS-376,Ai/ml task 376,In Progress,Medium,2024-01-01,Priya,ai/ml
DS-377,Cloud task 377,Done,High,2023-09-25,Rahul,cloud
DS-378,Ai/ml task 378,Done,Medium,2023-01-21,Rahul,ai/ml
DS-379,Devops task 379,To Do,Medium,2023-12-30,Anita,devops
DS-380,Cloud task 380,In Progress,Medium,2024-01-24,Rahul,cloud
DS-381,Backend task 381,Done,Low,2023-12-16,Anita,backend
DS-382,Cloud task 382,Done,Low,2023-12-27,Anita,cloud
DS-383,Deployment task 383,To Do,Medium,2024-01-31,Shridayal,deployment
DS-384,Cloud task 384,To Do,Medium,2024-05-15,Priya,cloud
DS-385,Cloud task 385,To Do,Low,2023-12-22,Shridayal,cloud
DS-386,Cloud task 386,Done,Medium,2024-03-11,Vikram,cloud
DS-387,Backend task 387,To Do,Low,2023-02-06,Vikram,backend
